2151 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
2151 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
2152 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
2152 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-3.9.jar' to classloader
2152 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
2152 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
2152 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
2153 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/rome-0.9.jar' to classloader
2153 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
2153 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/tika-core-1.4.jar' to classloader
2153 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
2154 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
2154 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
2154 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
2154 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
2154 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/xz-1.0.jar' to classloader
2155 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-cell-4.5.1.jar' to classloader
2156 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
2157 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
2157 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
