INFO  - 2013-11-05 21:56:55.796; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.797; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.797; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-11-05 21:56:55.798; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-11-05 21:56:55.798; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-11-05 21:56:55.799; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.799; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-11-05 21:56:55.800; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2013-11-05 21:56:55.800; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2013-11-05 21:56:55.800; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2013-11-05 21:56:55.801; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-11-05 21:56:55.801; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.802; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-11-05 21:56:55.802; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-11-05 21:56:55.803; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.803; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.804; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.804; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.804; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.807; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-cell-4.5.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.808; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.809; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.809; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2013-11-05 21:56:55.810; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-11-05 21:56:55.810; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-11-05 21:56:55.811; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.811; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-11-05 21:56:55.811; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2013-11-05 21:56:55.813; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-clustering-4.5.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.814; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-11-05 21:56:55.814; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-11-05 21:56:55.816; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-langid-4.5.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.818; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.818; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-11-05 21:56:55.819; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-11-05 21:56:55.819; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-11-05 21:56:55.820; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-velocity-4.5.1.jar' to classloader
INFO  - 2013-11-05 21:56:56.091; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-11-05 21:56:56.100; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2013-11-05 21:56:56.260; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-11-05 21:56:56.268; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-11-05 21:56:56.375; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-11-05 21:56:57.083; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-11-05 21:56:57.197; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-05 21:56:57.206; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-05 21:56:57.381; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-11-05 21:56:57.390; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/xcv58/solr-4.5.1/example/solr/collection1/, dataDir=/Users/xcv58/solr-4.5.1/example/solr/collection1/data/
INFO  - 2013-11-05 21:56:57.392; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-11-05 21:56:57.399; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-11-05 21:56:57.399; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-11-05 21:56:57.416; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/xcv58/solr-4.5.1/example/solr/collection1/data
INFO  - 2013-11-05 21:56:57.416; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/xcv58/solr-4.5.1/example/solr/collection1/data/index/
WARN  - 2013-11-05 21:56:57.417; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/xcv58/solr-4.5.1/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-11-05 21:56:57.430; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/xcv58/solr-4.5.1/example/solr/collection1/data/index
INFO  - 2013-11-05 21:56:57.483; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/xcv58/solr-4.5.1/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@d876811; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-11-05 21:56:57.483; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-11-05 21:56:57.492; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-11-05 21:56:57.492; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-11-05 21:56:57.493; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-11-05 21:56:57.499; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-11-05 21:56:57.500; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
